"date","ipi_cl1","ipi_cl1_brut"
"01/2010",100.49,98.51
"02/2010",99.74,102.68
"03/2010",105.64,122.78
"04/2010",100.29,108.48
"05/2010",99.1,97.43
"06/2010",100.36,118.21
"07/2010",102.4,104.91
"08/2010",97.12,39.41
"09/2010",105,124.39
"10/2010",105.58,114.29
"11/2010",109.71,115.97
"12/2010",109.89,92.35
"01/2011",113.1,113.42
"02/2011",115.23,118.5
"03/2011",112.05,129.59
"04/2011",107.91,112.79
"05/2011",115.35,130.34
"06/2011",109.52,118.33
"07/2011",107.08,103.81
"08/2011",101.55,44.32
"09/2011",100.99,118.72
"10/2011",106.21,113.8
"11/2011",109.55,115.17
"12/2011",104.24,87.83
"01/2012",104.03,108.74
"02/2012",103.57,110.44
"03/2012",100.18,113.92
"04/2012",97.22,101.28
"05/2012",96.29,97.8
"06/2012",96.09,110.19
"07/2012",97.13,100.41
"08/2012",98.99,46.77
"09/2012",94.07,101.78
"10/2012",86.03,99.94
"11/2012",84.34,94.28
"12/2012",92.75,66.57
"01/2013",83.52,86.08
"02/2013",80.92,86.18
"03/2013",87.6,95.93
"04/2013",93.45,102.79
"05/2013",93.61,97.13
"06/2013",91.61,101.31
"07/2013",83.8,89.44
"08/2013",93.21,39.81
"09/2013",89.33,100.79
"10/2013",93.15,106.01
"11/2013",95.83,96.64
"12/2013",97.2,76.95
"01/2014",92.73,95.4
"02/2014",92.85,98.3
"03/2014",92.48,101.2
"04/2014",92.94,102.02
"05/2014",91.98,94.55
"06/2014",94.26,103.6
"07/2014",95.87,95.38
"08/2014",100.49,45.32
"09/2014",95.32,110.61
"10/2014",91.47,103.62
"11/2014",89.42,90.07
"12/2014",92.29,75.47
"01/2015",96.08,93.65
"02/2015",97.75,102.96
"03/2015",97.73,111.75
"04/2015",100.55,110.28
"05/2015",99.8,93.67
"06/2015",100.13,118.56
"07/2015",94.91,92.83
"08/2015",104.1,53.13
"09/2015",101.87,115.88
"10/2015",104,113.07
"11/2015",103.22,109.84
"12/2015",99.84,84.39
"01/2016",105.51,98.93
"02/2016",106.9,114.98
"03/2016",102.34,116.55
"04/2016",107.16,117.52
"05/2016",103.48,110.87
"06/2016",104.84,122.18
"07/2016",103.02,91.92
"08/2016",106.48,57.18
"09/2016",101.02,114.86
"10/2016",103.45,109.15
"11/2016",110.34,115.86
"12/2016",109.01,93.89
"01/2017",105.68,108.55
"02/2017",104.5,109.35
"03/2017",108.87,128.35
"04/2017",103.53,104.58
"05/2017",111.4,117.59
"06/2017",108.89,121.75
"07/2017",112.98,102.57
"08/2017",107.89,57.13
"09/2017",118.02,126.33
"10/2017",119.79,131.09
"11/2017",116.63,127.96
"12/2017",117.72,93.98
"01/2018",115.48,117.05
"02/2018",112.25,117.07
"03/2018",113.68,130.43
"04/2018",112.33,117.71
"05/2018",108.8,110.51
"06/2018",113.04,125.71
"07/2018",112.7,111.25
"08/2018",106.62,55.75
"09/2018",110.21,113.39
"10/2018",112.54,128.38
"11/2018",108.65,119.79
"12/2018",113.16,90.26
"01/2019",117.92,119.11
"02/2019",114.88,119.83
"03/2019",114.29,126.78
"04/2019",112.02,121.98
"05/2019",113.19,121.49
"06/2019",110.5,114.26
"07/2019",107.48,109.83
"08/2019",107.31,50.9
"09/2019",102.47,109.75
"10/2019",105.49,121.91
"11/2019",105.48,107.64
"12/2019",102.61,85.7
